Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality
P06536	P06536	Nr3c1	Nr3c1	12917342:0006:LC:binary|1865905:0114:LC:binary|3043231:0114:LC:binary|7664096:0114:LC:binary	10116	True
P06762	P06762	Hmox1	Hmox1	12044160:0114:LC:binary	10116	True
P06768	P06768	Rbp2	Rbp2	8487303:0114:LC:binary	10116	True
P06911	P06911	Lcn5	Lcn5	8069623:0114:LC:binary	10116	True
P07151	P07151	B2m	B2m	11163232:0114:LC:binary	10116	True
P07151	P16391	B2m		11163232:0114:LC:binary|12470953:0114:LC:binary	10116	True
P07151	Q95565	B2m	RT1.A1(C)	12470953:0114:LC:binary	10116	True
P07824	P07824	Arg1	Arg1	11258880:0114:LC:binary|11278703:0114:LC:binary|12820884:0114:LC:binary|14570477:0114:LC:binary|15248756:0114:LC:binary|15315440:0114:LC:binary|16266687:0114:LC:binary|9265637:0114:LC:binary	10116	True
P07897	Q05546	Acan	Tnr	15296743:0114:LC:binary	10116	True
P07953	P07953	Pfkfb1	Pfkfb1	11522786:0018:LC:binary|22668829:0018:LC:binary|22668829:0055:LC:binary|8289315:0114:LC:binary|8634242:0114:LC:binary|9253407:0114:LC:binary|PDB_1C7Z:0114:LC:binary	10116	True
P08661	P08661	Mbl2	Mbl2	11850428:0114:LC:binary|8557671:0114:LC:binary|9922165:0114:LC:binary	10116	True
P08921	P08921	Cd2	Cd2	1279440:0114:LC:binary|7638192:0114:LC:binary|9731771:0114:LC:binary	10116	True
P09367	P09367	Sds	Sds	14596599:0114:LC:binary	10116	True
P09527	P37727	Rab7a	Chm	15186776:0114:LC:binary	10116	True
P0DP31	P0DP31	Calm3	Calm3	12574113:0114:LC:binary|15130477:0114:LC:binary	10116	True
P0DP31	P70604	Calm3	Kcnn2	11323678:0114:LC:binary|15130477:0114:LC:binary|22579256:0028:LC:binary|22579256:0065:LC:binary|22579256:0071:LC:binary|22579256:0114:LC:binary	10116	True
P10037	P10037	Pou1f1	Pou1f1	9009203:0114:LC:binary	10116	True
P10688	P10688	Plcd1	Plcd1	9048554:0114:LC:binary|9062102:0114:LC:binary	10116	True
P10719	P15999	Atp5f1b	Atp5f1a	9736690:0114:LC:binary	10116	True
P10760	P10760	Ahcy	Ahcy	10387078:0114:LC:binary|10913437:0114:LC:binary|11741948:0114:LC:binary|11927587:0114:LC:binary|16061414:0114:LC:binary	10116	True
P10824	P10824	Gnai1	Gnai1	9108480:0114:LC:binary	10116	True
P10824	P49799	Gnai1	Rgs4	9108480:0114:LC:binary	10116	True
P10868	P10868	Gamt	Gamt	12925789:0114:LC:binary	10116	True
P11348	P11348	Qdpr	Qdpr	15299357:0114:LC:binary	10116	True
P11442	P11442	Cltc	Cltc	10655490:0114:LC:binary|9827808:0114:LC:binary	10116	True
P13255	P13255	Gnmt	Gnmt	10756111:0114:LC:binary|12859184:0114:LC:binary|8810903:0114:LC:binary|9655336:0114:LC:binary|PDB_1KIA:0114:LC:binary	10116	True
P13444	P13444	Mat1a	Mat1a	10873471:0114:LC:binary|12888348:0114:LC:binary|27548429:0018:LC:binary	10116	True
P14604	P14604	Echs1	Echs1	11851409:0114:LC:binary|12445775:0114:LC:binary|15299399:0114:LC:binary|8895557:0114:LC:binary	10116	True
P15207	P15207	Ar	Ar	15037741:0114:LC:binary	10116	True
P16391	P16391			11163232:0114:LC:binary	10116	True
P17105	P17105	Itpka	Itpka	15350215:0114:LC:binary	10116	True
P17559	P17559	Scgb1a1	Scgb1a1	2115524:0114:LC:binary|7583672:0114:LC:binary	10116	True
P18614	P18614	Itga1	Itga1	10386626:0114:LC:binary|12662928:0114:LC:binary	10116	True
P18910	P18910	Npr1	Npr1	10894551:0114:LC:binary|15117952:0114:LC:binary	10116	True
P19491	P19491	Gria2	Gria2	11086992:0114:LC:binary|12015593:0114:LC:binary|12215417:0114:LC:binary|12417307:0114:LC:binary|12501192:0114:LC:binary|12519060:0114:LC:binary|12593667:0114:LC:binary|12730367:0114:LC:binary|12731861:0114:LC:binary|15591246:0114:LC:binary|19461580:0028:LC:binary|19461580:0114:LC:binary|19617541:0067:LC:binary|19617541:0071:LC:binary|19946266:0071:LC:binary|19946266:0114:LC:binary|21317873:0028:LC:binary|21317873:0051:LC:binary|21317873:0114:LC:binary|24673938:0114:LC:binary|25103407:0071:LC:binary|25103407:0114:LC:binary|25119039:0071:LC:binary|31925409:0031:LC:binary|9865957:0114:LC:binary	10116	True
P19999	P19999	Mbl1	Mbl1	10931846:0114:LC:binary|11850428:0114:LC:binary|1721241:0114:LC:binary|8539602:0114:LC:binary|8636086:0114:LC:binary|9033386:0114:LC:binary|9677372:0114:LC:binary	10116	True
P20070	P20070	Cyb5r3	Cyb5r3	14609324:0114:LC:binary	10116	True
P20760	P20760	Igg-2a	Igg-2a	11336709:0114:LC:binary	10116	True
P20781	Q03555	Glrb	Gphn	12967995:0004:LC:co-complex|15201864:0114:LC:binary|16449194:0004:LC:co-complex	10116	True
P20974	P20974	Art2b	Art2b	12270706:0114:LC:binary	10116	True
P21396	P21396	Maoa	Maoa	15050826:0114:LC:binary	10116	True
P22002	P54287	Cacna1c	Cacnb3	15170217:0114:LC:binary	10116	True
P22288	P22288	Gch1	Gch1	11818540:0114:LC:binary|15448133:0114:LC:binary|9685352:0096:LC:binary	10116	True
P22288	P70552	Gch1	Gchfr	11818540:0114:LC:binary|15448133:0114:LC:binary|9092499:0415:LC:binary|9685352:0415:LC:binary	10116	True
P22449	P22449	Hnf4a	Hnf4a	12193589:0114:LC:binary|9343418:0019:LC:binary	10116	True
P23385	P23385	Grm1	Grm1	11069170:0114:LC:binary|19549872:0055:LC:binary|19590495:0012:LC:binary|19590495:0055:LC:binary	10116	True
P24473	P24473	Gstk1	Gstk1	14717589:0114:LC:binary	10116	True
P27213	P27213	Pts	Pts	10024455:0114:LC:binary|8137809:0114:LC:binary	10116	True
P29476	P29476	Nos1	Nos1	12437343:0114:LC:binary|12960153:0114:LC:binary|14718923:0114:LC:binary|15122883:0114:LC:binary|16033258:0114:LC:binary|16285725:0114:LC:binary|9535869:0114:LC:binary|9875848:0114:LC:binary|PDB_1K2T:0114:LC:binary|PDB_1K2U:0114:LC:binary|PDB_1OM4:0114:LC:binary|PDB_1OM5:0114:LC:binary	10116	True
P32577	P32577	Csk	Csk	11884384:0114:LC:binary	10116	True
P32851	P63041	Stx1a	Cplx1	11832227:0114:LC:binary|17828276:0096:LC:binary	10116	True
P32851	P63045	Stx1a	Vamp2	11832227:0114:LC:binary|15086514:0004:LC:co-complex|18385322:0004:LC:co-complex|21193638:0096:LC:binary|21266332:0004:LC:co-complex|22411134:0004:LC:co-complex|25581794:0096:LC:binary|8567678:0006:LC:binary|9341137:0018:LC:binary|9759724:0114:LC:binary	10116	True
P35439	P35439	Grin1	Grin1	15996549:0114:LC:binary|9556603:0004:LC:co-complex	10116	True
P35444	P35444	Comp	Comp	9736606:0114:LC:binary	10116	True
P35467	P35467	S100a1	S100a1	11790100:0114:LC:binary|16169012:0114:LC:binary	10116	True
P37090	Q62940	Scnn1b	Nedd4	11323714:0114:LC:binary|12654927:0096:LC:binary|8665844:0018:LC:binary|8665844:0096:LC:binary|9923703:0114:LC:binary	10116	True
P37727	Q08602	Chm	Rabggta	11886217:0114:LC:binary|12620235:0114:LC:binary	10116	True
P38445	P38445	Acvr2b	Acvr2b	12660162:0114:LC:binary	10116	True
P42260	P42260	Grik2	Grik2	15677325:0114:LC:binary|15721240:0114:LC:binary|17115050:0028:LC:binary|17115050:0114:LC:binary|19465914:0028:LC:binary|19465914:0067:LC:binary|19465914:0071:LC:binary|19465914:0114:LC:binary|19617541:0028:LC:binary|25119039:0071:LC:binary	10116	True
P45352	P45352	Tyms	Tyms	9894005:0114:LC:binary	10116	True
P52303	P52303	Ap1b1	Ap1b1	15377783:0114:LC:binary	10116	True
P53610	P53610	Pggt1b	Pggt1b	14609943:0114:LC:binary|15451670:0114:LC:binary	10116	True
P53610	Q04631	Pggt1b	Fnta	14609943:0114:LC:binary|15248757:0114:LC:binary|15451670:0114:LC:binary|18957540:0096:LC:binary	10116	True
P54287	P54287	Cacnb3	Cacnb3	15170217:0114:LC:binary	10116	True
P61212	P61212	Arl1	Arl1	14718928:0114:LC:binary	10116	True
P61459	P61459	Pcbd1	Pcbd1	10966642:0114:LC:binary	10116	True
P61972	P61972	Nutf2	Nutf2	10543952:0114:LC:binary|11846560:0114:LC:binary|12065398:0114:LC:binary|15522285:0114:LC:binary|8757804:0114:LC:binary|9368653:0114:LC:binary|9533885:0114:LC:binary	10116	True
P62483	P62483	Kcnab2	Kcnab2	10399921:0114:LC:binary	10116	True
P62697	P62697	Crybb2	Crybb2	9655330:0114:LC:binary	10116	True
P63018	P63018	Hspa8	Hspa8	12773536:0114:LC:binary	10116	True
P63041	P63045	Cplx1	Vamp2	11832227:0114:LC:binary|17828276:0096:LC:binary	10116	True
P63142	P63142	Kcna2	Kcna2	11007484:0114:LC:binary	10116	True
P63170	P63170	Dynll1	Dynll1	11178896:0114:LC:binary	10116	True
P68403	P68403	Prkcb	Prkcb	9817842:0114:LC:binary	10116	True
P70552	P70552	Gchfr	Gchfr	11580249:0114:LC:binary|11818540:0114:LC:binary|15448133:0114:LC:binary|9092499:0096:LC:binary	10116	True
P80386	P80386	Prkab1	Prkab1	16216577:0114:LC:binary|16508085:0114:LC:binary|24625528:0006:LC:binary	10116	True
P84079	P84079	Arf1	Arf1	7552752:0114:LC:binary|7990146:0114:LC:binary	10116	True
P84092	Q9QX70	Ap2m1	Egfr	PDB_1I31:0114:LC:binary	10116	True
P97571	P97571	Capn1	Capn1	11893336:0114:LC:binary|14656436:0114:LC:binary	10116	True
P97612	P97612	Faah	Faah	12459591:0114:LC:binary|18753625:0071:LC:binary|18753625:0114:LC:binary	10116	True
Q02293	Q04631	Fntb	Fnta	10377218:0114:LC:binary|10673434:0114:LC:binary|12374986:0114:LC:binary|12657282:0114:LC:binary|12657283:0114:LC:binary|12657284:0114:LC:binary|12667062:0114:LC:binary|12699757:0114:LC:binary|15170324:0114:LC:binary|15451670:0114:LC:binary|15454228:0114:LC:binary|9065406:0114:LC:binary|9609683:0114:LC:binary|9657673:0114:LC:binary|98409463:0114:LC:binary|9843427:0114:LC:binary	10116	True
Q02874	Q02874	Macroh2a1	Macroh2a1	16107708:0114:LC:binary	10116	True
Q03555	Q03555	Gphn	Gphn	15201864:0114:LC:binary|27112598:0114:LC:binary	10116	True
Q04631	Q04631	Fnta	Fnta	14609943:0114:LC:binary|15451670:0114:LC:binary	10116	True
Q06486	Q06486	Csnk1d	Csnk1d	8648628:0114:LC:binary	10116	True
Q07009	Q64537	Capn2	Capns1	10417423:0114:LC:binary|10601010:0114:LC:binary|15476820:0114:LC:binary|19020622:0071:LC:binary|19020622:0077:LC:binary|19020622:0114:LC:binary|19020623:0071:LC:binary|19020623:0114:LC:binary	10116	True
Q07523	Q07523	Hao2	Hao2	15683236:0114:LC:binary|2329585:0114:LC:binary	10116	True
Q08326	Q08326	Rabif	Rabif	11258916:0114:LC:binary	10116	True
Q08602	Q08603	Rabggta	Rabggtb	10745007:0114:LC:binary|11886217:0114:LC:binary|12620235:0114:LC:binary	10116	True
Q08603	Q08603	Rabggtb	Rabggtb	10745007:0114:LC:binary|11886217:0114:LC:binary	10116	True
Q62696	Q62696	Dlg1	Dlg1	15048107:0114:LC:binary	10116	True
Q62696	Q62915	Dlg1	Cask	12351654:0047:LC:binary|15048107:0114:LC:binary	10116	True
Q62735	Q62735	Nr1h4	Nr1h4	12718893:0114:LC:binary	10116	True
Q62902	Q62902	Lman1	Lman1	14643651:0114:LC:binary	10116	True
Q62915	Q62915	Cask	Cask	15048107:0114:LC:binary	10116	True
Q63041	Q63041	A1m	A1m	11106161:0114:LC:binary	10116	True
Q63372	Q63372	Nrxn1	Nrxn1	10520997:0114:LC:binary	10116	True
Q63537	Q63537	Syn2	Syn2	10358015:0018:LC:binary|PDB_1I7L:0114:LC:binary	10116	True
Q63635	Q63635	Stx6	Stx6	12082176:0114:LC:binary	10116	True
Q63716	Q63716	Prdx1	Prdx1	10535922:0114:LC:binary	10116	True
Q64536	Q64536	Pdk2	Pdk2	11483605:0114:LC:binary	10116	True
Q64537	Q64537	Capns1	Capns1	9228945:0114:LC:binary	10116	True
Q6MGD0	Q6MGD0	Cuta	Cuta	12949080:0114:LC:binary	10116	True
Q78EG7	Q78EG7	Ptp4a1	Ptp4a1	16142898:0114:LC:binary	10116	True
Q811U3	Q9JIR4	Erc1	Rims1	12391317:0018:LC:binary|12391317:0096:LC:binary|12391317:0397:LC:binary|16095618:0065:LC:binary|16095618:0077:LC:binary|16095618:0114:LC:binary|21241895:0077:LC:binary	10116	True
Q8VGC3	Q8VGC3	Cacnb2	Cacnb2	15141227:0114:LC:binary|18776052:0029:LC:binary|18776052:0071:LC:binary	10116	True
Q95565	Q9JJP9	RT1.A1(C)	Ubqln1	12470953:0114:LC:binary	10116	True
Q9JJS8	Q9JJS8	Masp2	Masp2	12743029:0114:LC:binary	10116	True
Q9WUF4	Q9Z2Q7	Vamp8	Stx8	11101518:0019:LC:binary|11786915:0114:LC:binary	10116	True
Q9WUI9	Q9WUI9	Ncoa2	Ncoa2	15610733:0114:LC:binary	10116	True
Q9WV48	Q9WV48	Shank1	Shank1	12954649:0114:LC:binary	10116	True
Q9Z200	Q9Z200	Sh2b2	Sh2b2	14690593:0114:LC:binary|16824542:0007:LC:binary	10116	True
